,OpportunityNumber,OpportunityTitle,OpportunityCategory,FundingInstrumentType,CategoryOfFundingActivity,EligibleApplicants,AgencyCode,AgencyName,PostDate,CloseDate,AwardCeiling,AwardFloor,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,Description,Version,GrantorContactEmail,GrantorContactEmailDescription
2130,PAS-21-270,AIDS-Science Track Award for Research Transition (R03 Clinical Trial Optional),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,09072024,1000000,,,,"This funding opportunity announcement (FOA) seeks to facilitate the entry of both newly independent and early career investigators to the area of drug use and use disorder research and HIV/AIDS. This FOA, the AIDS-Science Track Award for Research Transition (A-START), encourages Small Research Grant (R03) applications to support research projects on drug use and/or use disorder and HIV/AIDS that can be carried out in a short period of time with limited resources. This FOA welcomes applications integrating substance use and/or substance use disorder (SUD) and HIV/AIDS across all areas of research supported by NIDA.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2131,PAR-21-300,NCI Mentored Clinical Scientist Research Career Development Award to Promote Diversity (K08 Independent Clinical Trial Not Allowed),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,09072024,,,,,"The purpose of the NCI Mentored Clinical Scientist Career Development Award (K08) program is to prepare individuals for careers that have a significant impact on the health-related research needs of the nation. This program represents the continuation of a long-standing NIH program that provides support and protected time to individuals with a clinical doctoral degree for an intensive, supervised research career development experience in the fields of biomedical and behavioral research, including translational research. The NCI-sponsored K08 award is specifically designed to promote career development of clinical scientists from backgrounds that have been shown to be nationally underrepresented in health-related science and for those who are committed to a career in basic biomedical, behavioral or translational cancer research, including research on cancer health disparities. The expectation is that through this sustained period of research career development and training, awardees will develop enhanced research capabilities for cancer research careers and be better prepared to compete for research project grants (e.g. R03, R21, or R01) funding.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2132,PAR-21-328,Career Transition Award for NINDS Intramural Clinician-Scientists (K22 Clinical Trial Not Allowed),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,07122024,,,,,"The objective of the NIH Career Transition Award (K22) is to provide support to outstanding basic or clinical investigators to develop their independent research skills through a two phase program: an initial period involving an intramural appointment at the NIH and a final period of support at an extramural institution. This NINDS K22 is specifically designed to facilitate the transition of NINDS intramural neurologist- and neurosurgeon-scientists to independent, academic faculty positions that support clinician-scientists to engage in independently funded scientific research as well as clinical activities.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2134,PAR-21-299,NCI Mentored Clinical Scientist Research Career Development Award to Promote Diversity (K08 Clinical Trial Required),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,09072024,,,,,"The purpose of the NCI Mentored Clinical Scientist Career Development Award (K08) program is to prepare individuals for careers that have a significant impact on the health-related research needs of the nation. This program represents the continuation of a long-standing NIH program that provides support and protected time to individuals with a clinical doctoral degree for an intensive, supervised research career development experience in the fields of biomedical and behavioral research, including translational research. The NCI-sponsored K08 award is specifically designed to promote career development of clinical scientists from backgrounds that have been shown to be nationally underrepresented in health-related science and for those who are committed to a career in basic biomedical, behavioral or translational cancer research, including research on cancer health disparities. The expectation is that through this sustained period of research career development and training, awardees will develop enhanced research capabilities for cancer research careers and be better prepared to compete for research project grants (e.g. R03, R21, or R01) funding.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2135,RFA-NS-22-017,Small Vessel VCID Biomarkers Validation Consortium Coordinating Center (U24 Clinical Trial Not Allowed),D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,11122021,,,,,"The purpose of this funding opportunity announcement (FOA) is to have an open competition to support a Coordinating Center for the next phase of the NINDS small vessel vascular contributions to cognitive impairment and dementia (VCID) biomarkers consortium. The original consortium was established under RFA-NS-16-019 and RFA-NS-16-020. The goal of the next phase, under this FOA (Coordinating Center) and RFA-NS-20-005 (sites), is to complete clinical validation of biomarkers initially developed during the first 5-year funding cycle of this program. The Coordinating Center will consist of: (i) an Administrative Core responsible for organizing, coordinating and administratively driving Consortium activities; and (ii) a Data Core that will coordinate, receive, collect, and share data, including de-identified clinical data. The Coordinating Center will provide infrastructure and expertise to drive the consortium administratively and contribute scientifically to validation of biomarkers with specified context of use for future clinical trials, including in large phase III trials, with general and diverse populations, and for generating scientific breakthroughs in our understanding and treatment of VCID.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2136,RFA-RM-21-027,The Human BioMolecular Atlas Program (HuBMAP) Demonstration Project (U01 Clinical Trial Not Allowed),D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,11192021,,,,,"The goal of this funding opportunity announcement is to solicit applications that will creatively use datasets and resources from the Human BioMolecular Atlas Program (HuBMAP: https://commonfund.nih.gov/hubmap) to demonstrate their use to address significant biomedical and biological questions. Projects are expected to work closely with the other funded projects as part of the HuBMAP Consortium to provide specific and actionable feedback, validations, tools, software and other resources back to the consortium.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2461,RFA-CE-22-004,Research Grants to Prevent Firearm-Related Violence and Injuries (R01),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25_99,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,2021-09-08,,350000,0,4900000,7,"The Centers for Disease Control and Prevention (CDC) National Center for Injury Prevention and Control (NCIPC, Injury Center) is soliciting investigator-initiated research to understand and prevent firearm-related injuries, deaths, and crime. For the purposes of this announcement, firearm-related injuries, deaths, and crime include mass shooting incidents, other firearm homicides/assaults, firearm suicides/self-harm, unintentional firearm deaths and injuries, and firearm-related crime. The intent of this announcement is to support research to help inform the development of innovative and promising opportunities to enhance safety and prevent firearm- related injuries, deaths, and crime, and to rigorously evaluate the effectiveness of innovative and promising strategies to keep individuals, families, schools, and communities safe from firearm-related injuries, deaths, and crime. ",Forecast 1,sfn8@cdc.gov,sfn8@cdc.gov
2462,RFA-CE-22-001,Grants to Support New Investigators in Conducting Research Related to Understanding Polydrug Use Risk and Protective Factors,D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25_99,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,2021-09-08,,150000,0,900000,3,"The purpose of the Centers for Disease Control and Prevention National Center for Injury Prevention and Control (NCIPC) Mentored Research Scientist Development Award (K01) is to provide support for an intensive, supervised (mentored) career development experience in substance use and/or overdose prevention research leading to research independence. NCIPC supports K01 grants to help ensure the availability of an adequate number of trained scientists to address critical public health research questions to prevent polydrug use and overdose. Applicants must propose a research project that aims to better understand and identify risk and protective factors related to polydrug initiation, use, and escalation (including, but not limited to, co-use of opioids, stimulants, and/or cannabis) and potential moderators of the associations, and the relationship between polydrug use and overdose, particularly among populations experiencing disproportionate burden of illicit substance use and overdose (including but not limited to people with disabilities, non-English speaking populations, tribal populations, rural communities and other geographically underserved areas, racial/ethnic minorities, sexual and gender minorities, and people with limited health literacy) and/or who have experienced: Adverse childhood experiences; Chronic pain and/or pain for which they received treatment with prescription opioid analgesics; and/or Suicidal ideation or suicide attempts.",Forecast 1,AGarciaWilliams@cdc.gov,AGarciaWilliams@cdc.gov
2463,RFA-CE-22-005,Research Grants for Preventing Violence and Violence Related Injury (R01),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25_99,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,2021-09-08,,350000,0,3150000,3,"The Centers for Disease Control and Prevention&apos;s National Center for Injury Prevention and Control (NCIPC) is soliciting investigator-initiated research that will help expand and advance our understanding about what works to prevent violence that impacts children and youth, collectively referred to as Adverse Childhood Experiences (ACEs), and what works to effectively implement ACEs prevention strategies. This initiative is intended to support evaluation and implementation research studies on primary prevention programs, practices or policies with universal or selected (i.e., have one or more risk factors that place them at heightened risk for violence) populations. Funds are available to conduct such studies focused on preventing child abuse and neglect and at least one other form of violence affecting children and youth, including teen dating violence, sexual violence, youth violence, and exposure to adult intimate partner violence. The Primary outcomes we wish to achieve with this initiative are: Objective One: Effectiveness research to evaluate primary prevention strategies that improve the social or structural conditions that contribute to health inequities across population groups and are empirically or theoretically associated with child abuse and neglect or other forms of violence affecting children and youth. Objective Two: Effectiveness research to evaluate primary prevention strategies that enhance protective factors to reduce violence against children or within families. Objective Three: Effectiveness research to evaluate primary prevention strategies that incorporate a dual-generation approach for caregivers and their children that breaks the cycle of violence and adversity. Objective Four: Implementation research to study factors that influence effective implementation of primary ACEs prevention strategies that are based on the best available evidence.",Forecast 1,AGarciaWilliams@cdc.gov,AGarciaWilliams@cdc.gov
2464,RFA-CK-22-002,Technological Advancement of Global Rabies Surveillance and Control,D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_25,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,2021-09-08,,200000,150000,1000000,1,"The purpose of this notice of funding opportunity (NOFO) is to support research to implement, monitor, and evaluate technologically driven methods and tools that can be used to reduce human rabies burden globally and track progress towards canine rabies elimination. This research should be global in scope, but focus on countries in Asia, Africa, and the Americas with high rabies burden. Research activities should focus on evaluating low-cost electronic tools for tracking human and dog vaccinations, human bite investigations, improving systems for rabies diagnostic laboratory information management systems, economic modelling of dog-mediated rabies interventions, and enumerating rabies-susceptible dog populations. The research supported by this NOFO should provide CDC and international partners [e.g., World Health Organization (WHO), World Organization for Animal Health (OIE)] with data-driven strategies for reaching canine rabies elimination targets. ",Forecast 1,vdz9@cdc.gov,vdz9@cdc.gov
2465,RFA-CE-22-003,Rigorously Evaluating Programs and Policies to Prevent Child Sexual Abuse (CSA),D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25_99,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,2021-09-08,,325000,0,6200000,4,"The Centers for Disease Control and Prevention&apos;s National Center for Injury Prevention and Control (NCIPC) is soliciting investigator-initiated research proposals to rigorously evaluate prevention approaches (i.e., programs, policies, or practices) for their impact on the primary prevention of child sexual abuse (CSA) perpetrated by youth or adults. CSA is defined here as sexual victimization during childhood (under 18 years of age), excluding sexual violence (SV) in the specific context of dating/romantic relationships (i.e., teen dating violence [TDV] or intimate partner violence [IPV]). Research funded under this announcement will strengthen the evidence base for primary prevention of youth- or adult-perpetrated CSA. Applicants must propose rigorous evaluation designs, which for the purposes of this funding opportunity can include those that utilize experimental designs (i.e., randomized controlled trials) or rigorous quasi-experimental designs (e.g., comparative interrupted time series design, difference-in-differences, instrumental variables, regression discontinuity, regression point displacement, stepped wedge, propensity- score matching, comparison groups). Applicants must propose to rigorously evaluate an approach (i.e., program, policy, or practice) that has not yet been rigorously evaluated for its effectiveness in the primary prevention of youth- or adult-perpetrated CSA and that addresses one or more of the following six research priorities: Research Priority 1: Approaches developed for the primary prevention of youth- or adult-perpetrated CSA; Research Priority 2: Evidence-based approaches that have empirical evidence of effectiveness in reducing other forms of violence (e.g., intimate partner violence, youth violence, other forms of child abuse and neglect); Research Priority 3: Community- or societal-level approaches (i.e., programs, policies, or practices that target characteristics of settings that increase or buffer against the risk for violence); Research Priority 4: Approaches focused on preventing or reducing commercial sexual exploitation of children (CSEC) including sex trafficking as a form of CSA; Research Priority 5: Approaches focused on preventing technology-facilitated CSA (e.g., soliciting sexual contact or receiving sexual images from minors electronically, downloading/possession of online child pornography); Research Priority 6: Organizational policy approaches with the potential to prevent CSA perpetration in youth-serving organizations (e.g., juvenile residential care facilities, group foster care).",Forecast 1,SFN8@cdc.gov,SFN8@cdc.gov
2466,HHS-2022-ACF-IOAS-OTIP-ZV-0041,Trafficking Victim Assistance Program - ACF Regions 9 and 10,D,CA,ISS,00_01_02_04_05_06_07_08_11_12_13_20_22_23_99,HHS-ACF-OTIP,Administration for Children and Families-IOAS-OTIP,2021-09-09,,800000,800000,800000,1,"The Office on Trafficking in Persons (OTIP) within the Administration for Children and Families (ACF) is announcing funds for the Trafficking Victim Assistance Program (TVAP) &#8211; Regions 9 and 10. TVAP&#8217;s goal is to directly fund time-limited comprehensive case management services on a per capita basis to foreign national adult confirmed and potential victims of a severe form of human trafficking, as defined by the Trafficking Victims Protection Act (TVPA) of 2000, as amended, seeking the Health and Human Services (HHS) certification so they can re-establish their ability to live independently. A foreign national includes individuals who are not U.S. citizens, lawful permanent residents, parolees, refugees, or asylees. Under TVAP, the provision of trauma-informed, person-centered, culturally responsive, and linguistically appropriate, comprehensive case management services is required. Services may be provided to qualified persons either directly and/or through a network of providers, that provide direct services and community referrals. TVAP is informed by a whole family approach that focuses equally and intentionally on services and opportunities for clients and their immediate family members living within their households. OTIP is encouraging the meaningful engagement of foreign national adult survivors of trafficking, and the hiring of qualified professionals that reflect the communities being served in all project implementation strategies under TVAP. OTIP plans to award three cooperative agreements to provide regional coverage to achieve nationwide assistance. Each award will support services in specific ACF regions. The regional areas are as follows: a) ACF regions 1, 2, 3, and 4; b) ACF regions 5, 6, 7, and 8; and c) ACF regions 9 and 10. This is one of three Notices of Funding Opportunities (NOFOs). This NOFO is for TVAP coverage for the western states in ACF regions 9 and 10. This includes the following western states U. S. territories, and Freely Associated States: Alaska, Idaho, Oregon, Washington, Arizona, California, Hawaii, Nevada, American Samoa, the Federated States of Micronesia, Guam, the Marshall Islands, the Republic of Palau, and the Commonwealth of the Northern Mariana Islands. The other two NOFOs are: HHS-2022-ACF-IOAS-OTIP-ZV-0039, Trafficking Victim Assistance Program - ACF Regions 1, 2, 3, and 4; and HHS-2022-ACF-IOAS-OTIP-ZV-0040, Trafficking Victim Assistance Program - ACF Regions 5, 6, 7, and 8.",Forecast 1,Lauren.Devine@acf.hhs.gov,Lauren.Devine@acf.hhs.gov
2467,HHS-2022-ACF-IOAS-OTIP-ZV-0040,"Trafficking Victim Assistance Program - ACF Regions 5, 6, 7, and 8",D,CA,ISS,00_01_02_04_05_06_07_08_11_12_13_20_22_23_99,HHS-ACF-OTIP,Administration for Children and Families-IOAS-OTIP,2021-09-09,,1200000,1200000,1200000,1,"The Office on Trafficking in Persons (OTIP) within the Administration for Children and Families (ACF) is announcing funds for the Trafficking Victim Assistance Program (TVAP) &#8211; Regions 5, 6, 7, and 8. TVAP&#8217;s goal is to directly fund time-limited comprehensive case management services on a per capita basis to foreign national adult confirmed and potential victims of a severe form of human trafficking, as defined by the Trafficking Victims Protection Act (TVPA) of 2000, as amended, seeking the Health and Human Services (HHS) certification so they can re-establish their ability to live independently. A foreign national includes individuals who are not U.S. citizens, lawful permanent residents, parolees, refugees, or asylees. Under TVAP, the provision of trauma-informed, person-centered, culturally responsive, and linguistically appropriate, comprehensive case management services is required. Services may be provided to qualified persons either directly and/or through a network of providers, that provide direct services and community referrals. TVAP is informed by a whole family approach that focuses equally and intentionally on services and opportunities for clients and their immediate family members living within their households. OTIP is encouraging the meaningful engagement of foreign national adult survivors of trafficking, and the hiring of qualified professionals that reflect the communities being served in all project implementation strategies under TVAP. OTIP plans to award three cooperative agreements to provide regional coverage to achieve nationwide assistance. Each award will support services in specific ACF regions. The regional areas are as follows: a) ACF regions 1, 2, 3, and 4; b) ACF regions 5, 6, 7, and 8; and c) ACF regions 9 and 10. This is one of three Notices of Funding Opportunities (NOFOs). This NOFO is for TVAP coverage for the central states in ACF regions 5, 6, 7, and 8. This includes the following states: Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Texas, Arkansas, Louisiana, New Mexico, Oklahoma, Iowa, Kansas, Missouri, Nebraska, Colorado, Montana, North Dakota, South Dakota, Utah, and Wyoming. The other two NOFOs are: HHS-2022-ACF-IOAS-OTIP-ZV-0039, Trafficking Victim Assistance Program - ACF Regions 1, 2, 3, and 4; and HHS-2022-ACF-IOAS-OTIP-ZV-0041, Trafficking Victim Assistance Program - ACF Regions 9 and 10.",Forecast 1,Lauren.Devine@acf.hhs.gov,Lauren.Devine@acf.hhs.gov
2468,HHS-2022-ACF-OPRE-PE-0080,Career Pathways Secondary Data Analysis Grants,D,CA,ISS,00_01_02_04_05_06_07_08_11_12_13_20_22_23,HHS-ACF-OPRE,Administration for Children and Families - OPRE,2021-09-09,,75000,50000,300000,4,"ACF plans to fund Career Pathways Secondary Data Analysis Grants to support secondary analysis of data collected to rigorously evaluate a collection of career pathways programs. Career pathways programs provide post-secondary education and training organized as a series of manageable steps leading to successively higher credentials and employment opportunities in growing occupations. Programs also provide financial, academic, and non-academic support to help primarily low-income, non-traditional students enroll and persist in education. OPRE oversees a robust research portfolio evaluating the implementation and effectiveness of career pathways programs including the Pathways for Advancing Careers and Education (PACE) project and the rigorous evaluation of two rounds of the Health Profession Opportunity Grants (HPOG) Program (more information is available at https://www.acf.hhs.gov/opre/project/career-pathways-research-portfolio). Data from the PACE project and OPRE&#8217;s evaluation of the first round of HPOG (HPOG 1.0) are available for secondary analysis through the Child and Family Data Archive (https://www.childandfamilydataarchive.org). Additional data from the longer-term follow-up of PACE and HPOG 1.0, as well as from OPRE&#8217;s evaluation of the second round of HPOG (HPOG 2.0) will be made available for secondary analysis on a rolling basis beginning in late 2021. These grants would support rigorous, policy-relevant secondary analysis of these data sets to add to the body of knowledge and gain a deeper understanding of the implementation and effectiveness of career pathways programs. The goals of the Career Pathways Secondary Data Analysis Grants are to: examine research questions relevant to career pathways programs&#8217; goals and objectives; augment OPRE&apos;s multi-pronged evaluation of career pathways programs by focusing on particular questions relevant to career pathways; support research to inform and improve program design, implementation, and performance; and address issues of current relevance to decision makers at the local, state, and national levels in order to inform policy decisions and solutions, particularly those related to career pathways for TANF recipients and other low-income populations. Award funding depends on availability and continued interest of the government.",Forecast 1,nicole.constance@acf.hhs.gov,nicole.constance@acf.hhs.gov
